               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.016773,            0.005528,                   0,              0.9356,             0.96992,             0.95684,             0.64945,            0.031011,           0.0053322,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016641,           0.0054493,                   0,              0.9542,             0.96992,             0.96122,             0.65401,            0.032283,           0.0054247,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.016562,            0.005471,                   0,             0.95473,             0.98496,             0.97434,             0.67473,               0.029,           0.0054402,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.01658,           0.0053667,                   0,             0.94729,             0.98496,             0.97277,             0.64436,            0.032957,           0.0056118,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.015988,           0.0052376,                   0,             0.97723,             0.96803,             0.98861,             0.64713,            0.029971,           0.0052632,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016151,           0.0053491,                   0,              0.9699,             0.96921,               0.976,             0.65809,            0.030764,            0.005266,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015775,            0.005077,                   0,             0.96168,             0.96992,             0.97442,             0.65855,            0.031048,             0.00578,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.015513,           0.0050783,                   0,             0.96099,             0.96992,             0.96805,             0.66482,            0.033201,            0.005636,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016575,           0.0054329,                   0,             0.96816,             0.97744,              0.9723,             0.65971,            0.030646,           0.0050472,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.016629,           0.0054709,                   0,             0.95536,             0.98496,             0.97617,              0.6559,            0.031347,           0.0050242,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.016802,           0.0053797,                   0,             0.95336,             0.96241,             0.96524,             0.66192,             0.03141,           0.0051203,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016883,           0.0054109,                   0,             0.95403,             0.98496,              0.9733,             0.67326,             0.02496,           0.0050249,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.016224,           0.0053867,                   0,              0.9701,             0.97569,             0.98534,             0.66358,            0.031693,           0.0055651,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.016163,           0.0054988,                   0,             0.96832,             0.96992,             0.97663,             0.66613,            0.030151,           0.0052852,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015674,           0.0054655,                   0,             0.96772,             0.97744,             0.97584,             0.65064,            0.032172,           0.0054942,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.015573,           0.0052461,                   0,             0.95092,             0.96992,             0.96678,             0.65289,            0.031176,           0.0054328,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015872,           0.0053589,                   0,             0.97012,             0.97651,             0.97686,             0.64833,            0.030879,           0.0054235,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015824,           0.0053639,                   0,             0.96166,             0.97744,             0.97474,             0.65991,            0.029827,           0.0053562,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015285,           0.0051251,                   0,             0.96295,             0.97707,             0.97558,             0.66095,            0.032025,           0.0053634,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.01532,           0.0051325,                   0,             0.96292,             0.97626,             0.96581,             0.65612,            0.026764,           0.0053752,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.01501,           0.0052025,                   0,             0.96126,             0.96992,             0.96304,             0.65146,            0.031565,           0.0055202,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.015071,           0.0052034,                   0,             0.96225,             0.96992,             0.96659,             0.66632,            0.026857,           0.0052489,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.015097,           0.0050416,                   0,             0.96761,             0.98496,             0.97382,             0.66317,            0.026822,           0.0052497,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.014589,           0.0049683,                   0,             0.96058,             0.97744,              0.9652,             0.65789,            0.028893,           0.0056508,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.014999,           0.0050751,                   0,             0.96163,             0.97744,             0.96509,             0.66043,            0.028824,           0.0055161,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.014311,           0.0051867,                   0,             0.96728,             0.97744,             0.97419,             0.66777,            0.029169,           0.0055837,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.014525,           0.0049935,                   0,             0.96264,             0.96873,              0.9653,             0.66175,            0.026562,           0.0054228,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.014306,           0.0052223,                   0,             0.95588,             0.97742,             0.96505,             0.66023,            0.030753,              0.0055,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.014086,           0.0050206,                   0,             0.96007,             0.96992,             0.96425,             0.66253,            0.028917,           0.0054985,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.014152,           0.0050235,                   0,             0.96279,             0.97265,             0.96642,              0.6712,            0.028201,           0.0054239,                   0,            0.000298,            0.000298,            0.000298
